"id","orig_id","site"
"B0437","ADC-15486","Přišimasy-kravín"
"B0438",NA,"Přišimasy-S okraj obce"
"B0439","JV-1301","Pučery-Panské pole"
"B0440","P-1411-00028","Pulice-Poříčí"
"B0441","HK-1198","Račice nad Trotinou-Záložnice"
"B0442","HK-1199","Račice nad Trotinou-Frantov"
"B0443","JV-1333","Radim u Kolína-"
"B0444","ADC-15696","Radim u Kolína-"
"B0445",NA,"Radim u Kolína-"
"B0446","ADC-11806","Radonice u Prahy-V obůrkách"
"B0447","P-1332-00497","Radovesnice I-Za školou"
"B0448","ADC-16223","Radovesnice I-dvorek domu čp. 95"
"B0449","ADC-16470; ADC-16469","Ratboř-V cukrovaru u staré školy"
"B0450","P-1314-00083","Ratenice-Nad Loučkama"
"B0451","P-1322-00248","Rodov-Trotina"
"B0452","P-1341-00016","Rohozec u Žehušic-Za humny na obíckách"
"B0453",NA,"Rosice nad Labem-cihelna"
"B0454","P-1342-00121","Rosice u Chrasti-Za školou"
"B0455","DVS-898; ADC-17393","Rosice u Chrasti-tvrziště"
"B0456","ADC-17391; ADC-17390","Rosice u Chrasti-cihelna"
"B0458",NA,"Rožďalovice-u školy"
"B0459",NA,"Rtyně-"
"B0461",NA,"Řepov-průmyslová zóna"
"B0462","ML-7044","Řepov-u hřbitova"
"B0463","ADC-14633","Říčany u Prahy-Pískovna pod hradem"
"B0464","AN/NB – 1288","Sány-"
"B0465",NA,"Sány-ul. Dlouhá"
"B0466","P-1321-00250; P-1321-00113","Sběř-"
"B0467","ADC-16396","Sedlec u Kutné Hory-Mokřiny"
"B0468","P-1312-00068","Semčice-U Okálů"
"B0469","ADC-15791; ADC-15792","Semonice_trasa silnice"
"B0470","ADC-15790; NA-JT-7101","Semonice_vodovod"
"B0471","P-1313-00180","Sibřina-"
"B0472","HK-7064","Skřivany-Malátova"
"B0473",NA,"Slatiny-Slatinky"
"B0474","OS_JC_11006","Slavhostice-U Vraždy"
"B0475","P-1321-00141","Slavhostice-U studeného lesa"
"B0476","P-1321-00156","Slavhostice-Nad dvorem"
"B0477","P-1322-00335; HK-1268","Smiřice-Zbuzany"
"B0478","HK-7073; P-1322-00017","Smiřice_nádraží"
"B0479","HK-1266; HK-1269","Smiřice-Za cihelnou"
"B0480","P-1322-00158; HK-7071","Smiřice-Zderaz"
"B0481",NA,"Sobčice-Bezděkov"
"B0482","PD-JC-1326","Sobčice-U svatého Jana"
"B0483","PD-JC-1184","Sobčice-U lomu"
"B0484","P-0343-00130","Soběraz-Červenice"
"B0485","P-0343-00143","Soběraz-Pod trním"
"B0486","P-0334-00198","Sobotka-U křížku"
"B0487","P-0334-00266","Solec-Mezi Solci"
