id,orig_id,region,site,site_note,note,in_analysis
M0546,FT271,TR,Kralice nad Oslavou-Pivovárky,NA,NA,TRUE
M0547,FT269,BK,Kralice nad Oslavou-Posměch,NA,NA,TRUE
M0548,14-44-16/1,OC,Králová-kóta 272,I k.ú. Hlivice,výskyt KNP v objektech KLPP,TRUE
M0549,14-44-16/2,OC,Králová-u silnice do Benkova,NA,NA,TRUE
M0550,24-32-24/2,BM,Královo Pole-Božetěchova,FIT,+ SAS,TRUE
M0551,FT325,BM,Královo Pole-Kulhan,NA,Ševčíková – reference jen k VK,TRUE
M0552,24-41-23/11,VY,Královopolské Vážany-Horka,NA,NA,TRUE
M0553,24-33-08/5,TR,Kramolín-Babské díly,NA,Západomoravské muzeum v Třebíči,TRUE
M0554,24-33-07/4,TR,Kramolín-Hradisko,NA,VK v MZM 43384,TRUE
M0555,24-24-11/15,PV,Krasice-Kopaniny,Kopaninky,NA,TRUE
M0556,24-24-12/14,PV,Krasice-U hřbitova,"Krasická ulice, kostel sv. Petra",NA,TRUE
M0557,FT125,ZN,Kravsko-Hradiště,Hradisko,NA,TRUE
M0558,33-22-20/1,ZN,Kravsko-Mastník,NA,NA,TRUE
M0559,NA,KM,Kroměříž-Kotojedská,NA,NA,TRUE
M0560,25-31-06/12,KM,Kroměříž-Újezd u svatého Františka,NA,NA,TRUE
M0561,NA,KM,Kroměříž-Velehradská,"Rybalkova kasárna, Pekelce",NA,TRUE
M0562,24-24-11/4,PV,Krumsín-Kněží hora,NA,NA,TRUE
M0563,24-23-15/10,PV,Krumsín-Na Mokři,Mokř,NA,TRUE
M0564,24-22-18/7,OC,Křelov-Za chaloupkami,NA,NA,TRUE
M0565,14-43-14/5,SU,Křemačov-Strinberg,"Kamenná, Na hruškách, i k.ú. Květín",NA,TRUE
M0566,24-21-19/8,PV,Křemenec-Pod dědinou,Nad dědinou,NA,TRUE
M0567,24-42-10/1,PR,Křenovice u Kojetína-Hradisko,(předpolí hradiska),NA,TRUE
M0568,24-42-10/2,PR,Křenovice u Kojetína-Koráb,NA,NA,TRUE
M0569,NA,PR,Křenovice u Kojetína-Vinice,NA,NA,TRUE
M0570,24-43-08/9,VY,Křenovice u Slavkova-Dolní nádr.,U východního nádraží,MZM,TRUE
M0571,24-43-08/21,VY,Křenovice u Slavkova-u trati,podél železniční trati,NA,TRUE
M0572,24-43-08/5,VY,Křenovice u Slavkova-Zelnice,"Adrysíkova cihelna, Misákova cihelna",NA,TRUE
M0573,34-21-01/9,BV,Křepice u Hustopečí-intravilán,středověké a novověké jádro,"+sbírky RMM, inv.č. A22430-A22491",TRUE
M0574,34-21-01/11,BV,Křepice u Hustopečí-Záhumenice,NA,A 9516-A 9537,TRUE
M0575,FT126,ZN,Křepice-Čtvrtky,NA,NA,TRUE
M0576,34-11-07/1,ZN,Křepice-Hradisko,NA,MZM; Šmíd 1994,TRUE
M0577,FT418,ZN,Křepice-Za hájkem,NA,NA,TRUE
M0578,24-43-10/7,VY,Křižanovice u Bučovic-Padělky,Přední padělky,AÚ-depo?,TRUE
M0579,NA,VY,Křižanovice u Bučovic-Padělky nad hliníkem,NA,NA,TRUE
M0580,NA,VY,Křižanovice u Vyškova-,NA,NA,TRUE
M0581,FT360,ZN,Kubšice-U vedrovických hranic,NA,Moravský Krumlov,TRUE
M0582,NA,UH,Kudlovice-Zámeza,Lípí,NA,TRUE
M0583,FT127,ZN,Kuchařovice-Dolní Kasperek,NA,NA,TRUE
M0584,NA,SI,Kunov-Horekončie,NA,NA,TRUE
M0585,NA,SI,Kunov-Medzikružie,Medzi kružím,NA,TRUE
M0586,NA,SI,Kunov-Nádemenice,Nadmlynice,NA,TRUE
M0587,NA,SI,Kunov-Starý cintorín,Diely za cintorínom,NA,TRUE
M0588,NA,SI,Kunov-zahrada domu č. 57,p. Jamárik,NA,TRUE
M0589,NA,SI,Kunov-Záhrobné diely,Koncové diely,NA,TRUE
M0590,NA,SI,Kunov-Záchrastie,Podborie,NA,TRUE
M0591,25-33-22/5,UH,Kunovice u Uherského Hradiště-Let,NA,NA,TRUE
M0592,NA,UH,Kunovice u Uherského Hradiště-Nedbalova cilhelna,NA,NA,TRUE
M0593,NA,UH,Kunovice u Uherského Hradiště-Nová Čtvrť,NA,"Hanák, K. 1931: Pohled do pravěkých sídlišť, pohřebišť a hradišť ve Starém Městě u Uherského Hradiště, Sborník Velehradský NŘ 2, 8-14.",TRUE
M0594,NA,VS,Kunovice-Ve Slínech,NA,NA,TRUE
M0595,FT69,BV,Kurdějov-Holý vrch,NA,RMM 72/83,TRUE
M0596,NA,BO,Kuřim-Blanenská,NA,NA,TRUE
M0597,24-32-13/10,BO,Kuřim-Křivé,Knínická 1577,NA,TRUE
M0598,24-32-09/21,BO,Kuřim-Na zahrádkách,"ul. Na zahrádkách, Bezručova čtvrť",NA,TRUE
M0599,24-32-08/9,BO,Kuřim-Nad nivkami pod Zlobicí,Nad nivkami pod Zlobici,NA,TRUE
M0600,24-32-09/11,BO,Kuřim-Pod Toskou,"Za zahradou u rybníka, Rybník za Zárubou","Šlapanice, Detailní chronologie dle PV 39, s. 296",TRUE
M0601,24-32-09/8,BO,Kuřim-Rybníky,"Bělč, Německý hřbitov, Rybníky",NA,TRUE
M0602,24-32-09/9,BO,Kuřim-U kopečku,Záhoří do klínů,NA,TRUE
M0603,NA,BO,Kuřim-U Marušky,NA,NA,TRUE
M0604,NA,BO,Kuřim-Ve vedlejších,NA,NA,TRUE
M0605,FT232,BO,Kuřim-Za kostelem,Klín u Jinačovic,NA,TRUE
M0606,24-32-14/7,BO,Kuřim-Za sv. Jánem,NA,Datace dle SAS,TRUE
M0607,24-32-08/10,BO,Kuřim-Za Špihlíkem,NA,NA,TRUE
M0608,24-32-09/15,BO,Kuřim-Záruba,NA,NA,FALSE
M0609,35-11-02/4,UH,Kvačice-Chylický rybník,Chylický rybník,NA,TRUE
M0610,25-31-24/1,ZL,Kvítkovice u Otrokovice-Přední mezicestí,NA,NA,TRUE
M0611,NA,HO,Kyjov-komín sklárny,NA,NA,TRUE
M0612,NA,HO,Kyjov-Újezd,NA,NA,TRUE
M0613,34-11-18/4,ZN,Kyjovice-Nad silnicí,NA,NA,TRUE
M0614,34-11-18/9,ZN,Kyjovice-Sutny,NA,NA,TRUE
M0615,FT157,ZN,Kyjovice-Zahrada F. Krejčího,NA,Moravský Krumlov,TRUE
M0616,863,MI,Laa an der Thaya-Inneres Gerichtsfeld,NA,NA,TRUE
M0617,NA,MA,Láb-Pálenice,NA,NA,TRUE
M0618,NA,MA,Láb-Tri tále,NA,NA,TRUE
M0619,24-44-24/12,HO,Labuty-Juřičkův kopec,NA,NA,TRUE
M0620,24-44-24/10,HO,Labuty-Újezd za humny,NA,NA,TRUE
