id,site,accuracy,surface,altitude,X,Y
B0408,Pňov-Kobylnice,1,TRUE,194,-693441,-1050999
B0409,Pňov-Doubice,2,NA,193,-691821,-1051544
B0410,Poboří-,2,NA,254,-699293,-1055657
B0411,Poboří-,2,NA,262,-699882,-1055896
B0412,Podhradí-Veliš,1,FALSE,405,-674890,-1014986
B0413,Podkost-Velký Poráň,2,TRUE,324,-685882,-1005969
B0414,Polepy u Kolína-,2,NA,204,-687962,-1059114
B0415,Polepy u Kolína-,3,FALSE,226,-688407,-1059806
B0416,Poličany-,2,FALSE,296,-685864,-1068876
B0417,Poříčany-pískovna Černá obora,1,FALSE,226,-706145,-1045648
B0418,Poříčany-V rolcích,1,FALSE,200,-705571,-1044620
B0419,Poříčany-Na seňarku,1,FALSE,238,-706369,-1044714
B0420,Postřižín-ul. Pod Topolákem,2,FALSE,238,-742915,-1026843
B0421,Praskačka-Na pískách,2,FALSE,231,-646457,-1045646
B0422,Pravy-Za humny,2,FALSE,262,-657732,-1048729
B0423,Pražské Předměstí-Hořická ul.,2,FALSE,234,-642028,-1041634
B0424,Přebozy-u dvora,3,NA,254,-700927,-1055753
B0425,Předmeřice nad Labem-písečník V. Petra,2,FALSE,246,-641379.06,-1036343.99
B0426,Předměřice nad Labem-U zahrad,1,NA,256,-641740.86,-1036115.39
B0427,Předměřice nad Labem-pískovna u nádraží,2,NA,236,-641421,-1037884
B0428,Předměřice nad Labem-Za drůbežárnou,2,NA,256,-641619,-1035767
B0429,Předměřice nad Labem-cihelna cukrovaru,1,FALSE,248,-642164.2,-1037400.82
B0430,Předměřice nad Labem-Honkeho cihelna,1,NA,250,-641939.3,-1036741.57
B0431,Předměřice nad Labem-Slavoj,1,NA,252,-641961.35,-1037171.52
B0432,Přemyšlení-Na Brnky,1,FALSE,268,-741250,-1034367
B0433,Přemyšlení-U Cihelny,2,FALSE,266,-741078,-1033798
B0434,Přemyšlení-Veltěžská,2,FALSE,276,-740809,-1034287
B0435,Přerov nad Labem-,2,NA,178,-711775,-1038381
B0436,Přistoupim-,3,NA,250,-710910,-1051298
B0437,Přišimasy-kravín,2,FALSE,312,-719425,-1049912
B0438,Přišimasy-S okraj obce,1,FALSE,306,-719212,-1049950
B0439,Pučery-Panské pole,2,NA,338,-696233,-1063593
B0440,Pulice-Poříčí,2,TRUE,282,-618030,-1035926
B0441,Račice nad Trotinou-Záložnice,2,TRUE,252,-641966,-1029071
B0442,Račice nad Trotinou-Frantov,3,TRUE,266,-642874,-1029233
B0443,Radim u Kolína-,2,TRUE,208,-701093,-1049389
B0444,Radim u Kolína-,2,NA,200,-701243,-1049925
B0445,Radim u Kolína-,3,NA,202,-701574,-1050323
B0446,Radonice u Prahy-V obůrkách,2,TRUE,252,-729994,-1038310
B0447,Radovesnice I-Za školou,2,FALSE,284,-692213,-1058663
B0448,Radovesnice I-dvorek domu čp. 95,2,FALSE,278,-691872,-1058328
B0449,Ratboř-V cukrovaru u staré školy,2,FALSE,300,-691693,-1061662
B0450,Ratenice-Nad Loučkama,2,FALSE,194,-697923,-1048758
B0451,Rodov-Trotina,3,FALSE,252,-640022,-1033294
B0452,Rohozec u Žehušic-Za humny na obíckách,2,FALSE,215,-675907,-1065065
B0453,Rosice nad Labem-cihelna,2,FALSE,217,-650118.57,-1059861.15
B0454,Rosice u Chrasti-Za školou,2,TRUE,270,-636427,-1075771
B0455,Rosice u Chrasti-tvrziště,2,TRUE,258,-636388,-1075347
B0456,Rosice u Chrasti-cihelna,2,NA,272,-637003,-1075709
B0457,Rosnice u Všestar,4,NA,280,-645989.52,-1037528.95
B0458,Rožďalovice-u školy,3,FALSE,222,-686607,-1025687
B0459,Rtyně-Rtyňská,3,NA,288,-636040.79,-1025848.94
B0460,Rtyně-,3,TRUE,278,-636359,-1025495
B0461,Řepov-průmyslová zóna,1,FALSE,210,-700696,-1011983
B0462,Řepov-u hřbitova,2,FALSE,212,-700613,-1012925
B0463,Říčany u Prahy-Pískovna pod hradem,2,NA,228,-728031,-1055413
B0464,Sány-,2,NA,194,-684162,-1046462
B0465,Sány-ul. Dlouhá,1,FALSE,198,-683847,-1046622
B0466,Sběř-,2,TRUE,250,-668536,-1026183
B0467,Sedlec u Kutné Hory-Mokřiny,3,FALSE,212,-682504,-1064966
B0468,Semčice-U Okálů,2,FALSE,240,-697617,-1017563
B0469,Semonice_trasa silnice,2,FALSE,270,-635606,-1028836
B0470,Semonice_vodovod,1,FALSE,259,-636205,-1029365
B0471,Sibřina-,1,FALSE,296,-726232,-1048377
B0472,Skřivany-Malátova,3,FALSE,236,-663749,-1033234
B0473,Slatiny-Slatinky,3,NA,254,-669820,-1020939
B0474,Slavhostice-U Vraždy,2,TRUE,252,-674950,-1027255
B0475,Slavhostice-U studeného lesa,2,TRUE,296,-673220,-1025768
B0476,Slavhostice-Nad dvorem,2,TRUE,276,-673626,-1026877
B0477,Smiřice-Zbuzany,2,FALSE,256,-638595.62,-1032864.7
B0478,Smiřice_nádraží,2,NA,260,-638052.13,-1032565.56
B0479,Smiřice-Za cihelnou,2,NA,260,-638142.53,-1032274.52
B0480,Smiřice-Zderaz,2,NA,244,-638598.93,-1033182.92
B0481,Sobčice-Bezděkov,3,TRUE,262,-661816,-1020862
B0482,Sobčice-U svatého Jana,2,TRUE,260,-661126,-1021061
B0483,Sobčice-U lomu,2,NA,258,-660682,-1022072
B0484,Soběraz-Červenice,2,TRUE,334,-667666,-1010272
B0485,Soběraz-Pod trním,2,FALSE,320,-667634,-1010809
B0486,Sobotka-U křížku,2,TRUE,314,-683460,-1007653
B0487,Solec-Mezi Solci,2,TRUE,250,-691595,-1006525
B0488,Sovětice-Skalka,2,FALSE,280,-648051,-1031169
B0489,Staré Jesenčany-Kopanina,2,FALSE,236,-649319.85,-1064965.19
B0490,Starý Bydžov-Obecní písník u kóty 287,3,NA,284,-667344,-1033455
