orig,rowid,orig_id,point_x,point_y,region,site,site_note,accuracy,surface,altitude,source,note,chrono1,chrono2,chrono1_label,chrono2_label
b,C0092,P-1312-00174,-685321,-1019048,JC,Dětenice-bioplynová stanice,NA,1,FALSE,230,Novák et al. 2017,NA,SBK,SBK Late,SBK,SBK Late
b,C0093,P-0334-00137; ADC-30175,-692919,-999875,MB,Dneboh-Hrada,NA,1,FALSE,406,"Doležel 2012; Štiková E. 1955: AR 7, 155-164; archiv M. Zápotocké, Kutná Hora",hradiště,SBK,SBK Early,SBK,SBK Early
b,C0093,P-0334-00137; ADC-30175,-692919,-999875,MB,Dneboh-Hrada,NA,1,FALSE,406,"Doležel 2012; Štiková E. 1955: AR 7, 155-164; archiv M. Zápotocké, Kutná Hora",hradiště,TRB,TRB Baalberg,TRB,TRB Baalberg
b,C0093,P-0334-00137; ADC-30175,-692919,-999875,MB,Dneboh-Hrada,NA,1,FALSE,406,"Doležel 2012; Štiková E. 1955: AR 7, 155-164; archiv M. Zápotocké, Kutná Hora",hradiště,TRB,TRB Boleraz/Saalzm,TRB,TRB Boleraz/Saalzmund
b,C0094,ML-1198,-700542,-1017696,MB,Dobrovice-Losky,Stará cihelna,2,NA,232,"Zprava o prehist.vyzk.dobrovic.okoli 1905-6; Stocký A. 1926: Pravěk země české I. Věk   kamenný., 176; Stocký A.: Pravek I,str.163; Archiv M. Zápotocké, Kutná Hora",NA,TRB,NA,TRB,NA
b,C0094,ML-1198,-700542,-1017696,MB,Dobrovice-Losky,Stará cihelna,2,NA,232,"Zprava o prehist.vyzk.dobrovic.okoli 1905-6; Stocký A. 1926: Pravěk země české I. Věk   kamenný., 176; Stocký A.: Pravek I,str.163; Archiv M. Zápotocké, Kutná Hora",NA,SBK,SBK Early,SBK,SBK Early
b,C0095,NA,-655346,-1047711,HK,Dobřenice-,"parc. č. 154, 155, 683/1, 686/1",1,FALSE,272,Doležel 2012,NA,TRB,NA,TRB,NA
b,C0096,NA,-655439,-1047646,HK,Dobřenice-intravilán,parc. č. 272,1,TRUE,284,Doležel 2012,NA,TRB,NA,TRB,NA
b,C0097,NA,-698753,-1050804,KO,Dobřichov-Pod Třebickou,NA,3,TRUE,200,"Píč J.L.: PA XVI 1893-95, str.338.",NA,SBK,NA,SBK,NA
b,C0098,P-1322-00238; P-1322-00237,-650098,-1033363,HK,Dohalice-Dohaličky,i k.ú. Mokrovousy,2,FALSE,268,BZO 2004; Bláha et al. 1999,NA,SBK,SBK Early,SBK,SBK Early
b,C0099,P-1332-00027,-686938,-1062766,KO,Dolany u Červených Peček-závlaha,NA,3,FALSE,262,AMČR,NA,SBK,NA,SBK,NA
